title	type	nicu	resident	tamc_research	prior_research	division
"Abbas MI, Oliva-Hemker M, Choi J, et al. Magnet ingestions in children presenting to US emergency departments, 2002-2011. J Pediatr Gastroenterol Nutr. 2013;57(1):18-22. doi:10.1097/MPG.0b013e3182952ee5."	case_series	no	no	no	yes	gi
"Bear KA, Solomon BD, Antonini S, et al. Pathogenic mutations in GLI2 cause a specific phenotype that is distinct from holoprosencephaly. J Med Genet. 2014;51(6):413-418. doi:10.1136/jmedgenet-2013-102249."	case_series	yes	no	no	yes	nicu
"Braun L, Sawyer T, Smith K, et al. Retention of pediatric resuscitation performance after a simulation-based mastery learning session: a multicenter randomized trial. Pediatr Crit Care Med. 2015;16(2):131-138. doi:10.1097/PCC.0000000000000315."	prospective	yes	no	yes	no	nicu
"Burr JE, Roberts TA, Bucci JR. Dependent adolescent pregnancy rates and risk factors for pregnancy in the military health care system. Mil Med. 2013;178(4):412-415. doi:10.7205/MILMED-D-12-00461."	secondary	no	no	no	yes	adol
"Chiles D, Larson N, Pinsker JE. Visual vignette. Graves disease with anasarca. Endocr Pract. 2012;18(4):619. doi:10.4158/EP12044.VV."	case	no	yes	yes	no	endo
"Clark ME, Osten AW, Abbas MI, Edwards MJ. Hepatic abscess following NSAID use in an adolescent. Journal of Pediatric Surgery Case Reports. 2014;2(1):33-36."	case	no	yes	yes	no	gi
"Delaney HM, Rooks VJ, Wolfe SQ, Sawyer TL. Term neonate with intracranial hemorrhage and hereditary hemorrhagic telangiectasia: a case report and review of the literature. Journal of Perinatology. 2012;32(8):642-644."	case	yes	no	yes	no	nicu
"Delaney HM, Wang E, Melish M. Comprehensive strategy including prophylactic mupirocin to reduce Staphylococcus aureus colonization and infection in high-risk neonates. J Perinatol. 2013;33(4):313-318. doi:10.1038/jp.2012.102."	prospective	yes	no	yes	no	nicu
"Dobson CP, Kim A, Haigney M. QT Variability Index. Prog Cardiovasc Dis. 2013;56(2):186-194. doi:10.1016/j.pcad.2013.07.004."	review	no	no	no	yes	card
"Dobson NR, Hunt CE. Pharmacology review: Caffeine use in neonates: Indications, pharmacokinetics, clinical effects, outcomes. NeoReviews. 2013;14(11):e540-e550."	review	yes	no	no	yes	nicu
"Dobson NR, Patel RM, Smith PB, et al. Trends in caffeine use and association between clinical outcomes and timing of therapy in very low birth weight infants. J Pediatr. 2014;164(5):992-998.e3. doi:10.1016/j.jpeds.2013.12.025."	secondary	yes	no	no	yes	nicu
"Edwards MJ, Crudo DF, Carlson TL, Pedersen AM, Keller L. Pancreatic atrophy and diabetes mellitus following blunt abdominal trauma. Journal of pediatric surgery. 2013;48(2):432-435."	case	no	yes	yes	no	endo
"Edwards MJ, Lustik M, Burnett MW, Eichelberger M. Pediatric inpatient humanitarian care in combat: Iraq and Afghanistan 2002 to 2012. J Am Coll Surg. 2014;218(5):1018-1023. doi:10.1016/j.jamcollsurg.2013.12.050."	review	no	no	yes	no	id
"Filan E, Abbas M. Abdominal Pain, Fever, and Infection Secondary to an Unusual Source in a Previously Healthy Child. Clinical pediatrics. 2014;53(6):607-609."	case	no	yes	yes	no	gi
"Hsu AA, von Elten K, Chan D, et al. Characterization of the cortisol stress response to sedation and anesthesia in children. J Clin Endocrinol Metab. 2012;97(10):E1830-E1835. doi:10.1210/jc.2012-1499."	prospective	no	yes	yes	no	picu
"Hutchinson JW, Greene JP, Bryant CM, Kapunan PE. Helping those who serve: care of the young adult veteran. Adolesc Med State Art Rev. 2013;24(3):553-572."	review	no	no	no	no	adol
"Johnson L, Mu T, Sawyer T. Use of medical simulation in neonatal-perinatal fellowship training programs. Journal of Neonatal-Perinatal Medicine. 2012;5(4):339-345."	prospective	yes	no	yes	no	nicu
"Kuwabara N, Ching MS. A review of factors affecting vaccine preventable disease in Japan. Hawaii J Med Public Health. 2014;73(12):376-381."	review	no	yes	yes	no	dev
"Larson NS, Pinsker JE. Primary hypothyroidism with growth failure and pituitary pseudotumor in a 13-year-old female: a case report. J Med Case Rep. 2013;7:149. doi:10.1186/1752-1947-7-149."	case	no	no	yes	no	endo
"Larson NS, Pinsker JE. The role of continuous glucose monitoring in the care of children with type 1 diabetes. Int J Pediatr Endocrinol. 2013;2013(1):8. doi:10.1186/1687-9856-2013-8."	review	no	no	yes	no	endo
"Lindley L, Williams S, Gross JE, Greene JP. An adolescent female with abdominal pain and chronic cough. Adolesc Med State Art Rev. 2012;23(2):326-331."	case	no	yes	yes	no	adol
"Lords Q, Greene JP. Traumatic migraine versus concussion: a case report. Sports Health. 2014;6(5):406-409. doi:10.1177/1941738113491701."	case	no	yes	yes	no	adol
"Mu TS, Palmer EG, Batts SG, Lentz-Kapua SL, Uyehara-Lock JH, Uyehara CF. Continuous renal replacement therapy to reduce inflammation in a piglet hemorrhage-reperfusion extracorporeal membrane oxygenation model. Pediatric research. 2012;72(3):249-255."	prospective	yes	no	yes	no	nicu
"Ong BA, Caboot J, Jawad A, et al. Respiratory muscle force and lung volume changes in a population of children with sickle cell disease. Br J Haematol. 2013;163(1):112-117. doi:10.1111/bjh.12481."	prospective	no	no	no	yes	pulm
"Ong BA, Li J, McDonough JM, et al. Gene network analysis in a pediatric cohort identifies novel lung function genes. PLoS ONE. 2013;8(9):e72899. doi:10.1371/journal.pone.0072899."	secondary	no	no	no	yes	pulm
"Palmer EG, Ramirez-Enriquez E, Frioux SM, Tyree MM. Vitamin D deficiency at birth among military dependants in Hawai’i. Hawaii J Med Public Health. 2013;72(3):88-91."	prospective	yes	no	yes	no	nicu
"Pinsker JE, Becker E, Mahnke C, Ching M, Larson NS, Roy D. Extensive clinical experience: a simple guide to basal insulin adjustments for long-distance travel. Journal of Diabetes & Metabolic Disorders. 2013;12(1):59. doi:10.1186/2251-6581-12-59."	review	no	no	yes	no	endo
"Pinsker JE, Crudo DF. Ganglioneuroblastoma in a young child with Turner syndrome. Journal of Pediatric Endocrinology and Metabolism. 2012;25(7-8):799-800."	case	no	no	yes	no	endo
"Pinsker JE, McBayne K, Edwards M, Jensen K, Crudo DF, Bauer AJ. Transient hypothyroidism in premature infants after short-term topical iodine exposure: an avoidable risk? Pediatr Neonatol. 2013;54(2):128-131. doi:10.1016/j.pedneo.2012.10.005."	case	no	yes	yes	no	endo
Pinsker JE. Clinical review: Turner syndrome: updating the paradigm of clinical care. J Clin Endocrinol Metab. 2012;97(6):E994-E1003. doi:10.1210/jc.2012-1245.	review	no	no	yes	no	endo
"Rajnik M, Ottolini M, Weisse M. Pediatric Infectious Diseases: 60 Years of Contributions by Military Pediatricians. Pediatrics. 2012;129(Supplement 1):S27-S32."	review	no	no	no	no	id
"Recupero A, Mahnke B, Pinsker JE. Emerging technology in diabetes care: the real-time diabetes monitoring system. Mil Med. 2013;178(2):218-221."	secondary	no	yes	no	no	endo
"Rhein LM, Dobson NR, Darnall RA, et al. Effects of caffeine on intermittent hypoxia in infants born prematurely: a randomized clinical trial. JAMA Pediatr. 2014;168(3):250-257. doi:10.1001/jamapediatrics.2013.4371."	prospective	yes	no	no	yes	nicu
"Sainato RJ, Simmons EG, Muench DF, Burnett MW, Braun L. Management of infants born to women infected with hepatitis B in the military healthcare system. BMC Res Notes. 2013;6:338. doi:10.1186/1756-0500-6-338."	secondary	no	yes	yes	no	id
"Sawyer T, Laubach VA, Hudak J, Yamamura K, Pocrnich A. Improvements in teamwork during neonatal resuscitation after interprofessional TeamSTEPPS training. Neonatal Netw. 2013;32(1):26-33. doi:10.1891/0730-0832.32.1.26."	prospective	yes	no	yes	no	nicu
"Sawyer T, Leonard D, Sierocka-Castaneda A, Chan D, Thompson M. Correlations between technical skills and behavioral skills in simulated neonatal resuscitations. J Perinatol. 2014;34(10):781-786. doi:10.1038/jp.2014.93."	prospective	yes	no	yes	no	nicu
"Sawyer T, Sierocka-Castaneda A, Chan D, Berg B, Lustik M, Thompson M. The effectiveness of video-assisted debriefing versus oral debriefing alone at improving neonatal resuscitation performance: a randomized trial. Simul Healthc. 2012;7(4):213-221. doi:10.1097/SIH.0b013e3182578eae."	prospective	yes	no	yes	no	nicu
"Smith A, Doan ML, Roy D, Pinsker JE. Adrenal Insufficiency and Growth Failure Secondary to Inhaled Corticosteroids A Paradoxical Complication. Clinical pediatrics. 2012;51(12):1194-1196."	case	no	yes	yes	no	endo
"Solomon BD, Baker LA, Bear KA, et al. An approach to the identification of anomalies and etiologies in neonates with identified or suspected VACTERL (vertebral defects, anal atresia, tracheo-esophageal fistula with esophageal atresia, cardiac anomalies, renal anomalies, and limb anomalies) association. J Pediatr. 2014;164(3):451-457.e1. doi:10.1016/j.jpeds.2013.10.086."	review	yes	no	no	yes	nicu
"Studer MA, Smith AE, Lustik MB, Carr MR. Newborn pulse oximetry screening to detect critical congenital heart disease. J Pediatr. 2014;164(3):505-509.e1-e2. doi:10.1016/j.jpeds.2013.10.065."	prospective	no	yes	yes	no	card
"Tabak B, Elliott CL, Mahnke CB, Tanaka LY, Ogino MT. Transthoracic echocardiography visualization of bicaval dual lumen catheters for veno-venous extracorporeal membrane oxygenation. Journal of Clinical Ultrasound. 2012;40(3):183-186."	secondary	no	no	yes	no	card
"Wai K, Soler-García AA, Perazzo S, Mattison P, Ray PE. A pilot study of urinary fibroblast growth factor-2 and epithelial growth factor as potential biomarkers of acute kidney injury in critically ill children. Pediatr Nephrol. 2013;28(11):2189-2198. doi:10.1007/s00467-013-2543-3."	prospective	no	no	no	yes	neph
"Welsh SK, Crudo DF, Pinsker JE. Visual diagnosis: 6-month-old boy with leg pain. Pediatr Rev. 2014;35(11):e57-e60. doi:10.1542/pir.35-11-e57."	case	no	yes	yes	no	endo
"Welsh SK, Gross JE, Larson NS, Berg JM, Roy D, Pinsker JE. False-negative sweat chloride testing in a child with cystic fibrosis and undiagnosed hypohidrotic ectodermal dysplasia. Clin Pediatr (Phila). 2014;53(12):1203-1205. doi:10.1177/0009922813518426."	case	no	yes	yes	no	endo
"Williams R, Larson NS, Pinsker JE. Occult pyogenic liver abscess in an adolescent with type 2 diabetes. Endocrine. 2014;45(2):335-336. doi:10.1007/s12020-013-0036-6."	case	no	yes	yes	no	endo
"Wiszniewski W, Hunter JV, Hanchard NA, et al. TM4SF20 Ancestral Deletion and Susceptibility to a Pediatric Disorder of Early Language Delay and Cerebral White Matter Hyperintensities. The American Journal of Human Genetics. 2013;93(2):197-210. doi:10.1016/j.ajhg.2013.05.027."	secondary	no	no	no	no	dev
"Woods BT, Greene JP. An adolescent with abnormal uterine bleeding: an uncommon cause for a common complaint. Adolesc Med State Art Rev. 2012;23(2):387-392."	case	no	yes	yes	no	adol
